anyseed,baseline,district,id_village_grp,slope,flat,random,gossip,trusted,trustgossip,created_year,created_month,nchildren
1,1,Bhiwani,1_05_02_V02Y_0,FALSE,FALSE,0,0,0,1,2017,5,7
1,1,Bhiwani,1_05_02_V02Y_0,FALSE,FALSE,0,0,0,1,2017,6,10
1,1,Bhiwani,1_05_02_V02Y_0,FALSE,FALSE,0,0,0,1,2017,7,8
1,1,Bhiwani,1_05_02_V02Y_0,FALSE,FALSE,0,0,0,1,2017,8,6
1,1,Bhiwani,1_05_02_V02Y_0,FALSE,FALSE,0,0,0,1,2017,9,9
1,1,Bhiwani,1_05_02_V02Y_0,FALSE,FALSE,0,0,0,1,2017,10,8
1,1,Bhiwani,1_05_02_V02Y_0,FALSE,FALSE,0,0,0,1,2017,11,12
1,1,Bhiwani,1_05_02_V02Y_0,FALSE,FALSE,0,0,0,1,2017,12,14
1,1,Bhiwani,1_05_02_V02Y_0,FALSE,FALSE,0,0,0,1,2018,1,7
1,1,Bhiwani,1_05_02_V02Y_0,FALSE,FALSE,0,0,0,1,2018,2,11
1,1,Bhiwani,1_05_02_V04Y_0,FALSE,FALSE,1,0,0,0,2017,3,5
1,1,Bhiwani,1_05_02_V04Y_0,FALSE,FALSE,1,0,0,0,2017,4,7
1,1,Bhiwani,1_05_02_V04Y_0,FALSE,FALSE,1,0,0,0,2017,5,9
1,1,Bhiwani,1_05_02_V04Y_0,FALSE,FALSE,1,0,0,0,2017,6,13
1,1,Bhiwani,1_05_02_V04Y_0,FALSE,FALSE,1,0,0,0,2017,7,7
1,1,Bhiwani,1_05_02_V04Y_0,FALSE,FALSE,1,0,0,0,2017,8,8
1,1,Bhiwani,1_05_02_V04Y_0,FALSE,FALSE,1,0,0,0,2017,9,16
1,1,Bhiwani,1_05_02_V04Y_0,FALSE,FALSE,1,0,0,0,2017,10,8
1,1,Bhiwani,1_05_02_V04Y_0,FALSE,FALSE,1,0,0,0,2017,11,10
1,1,Bhiwani,1_05_02_V04Y_0,FALSE,FALSE,1,0,0,0,2017,12,15
1,1,Bhiwani,1_05_02_V04Y_0,FALSE,FALSE,1,0,0,0,2018,1,13
1,1,Bhiwani,1_05_02_V04Y_0,FALSE,FALSE,1,0,0,0,2018,2,10
1,1,Bhiwani,1_05_03_V02Y_0,FALSE,FALSE,0,0,0,1,2017,3,27
1,1,Bhiwani,1_05_03_V02Y_0,FALSE,FALSE,0,0,0,1,2017,4,17
1,1,Bhiwani,1_05_03_V02Y_0,FALSE,FALSE,0,0,0,1,2017,5,27
1,1,Bhiwani,1_05_03_V02Y_0,FALSE,FALSE,0,0,0,1,2017,6,23
1,1,Bhiwani,1_05_03_V02Y_0,FALSE,FALSE,0,0,0,1,2017,7,26
1,1,Bhiwani,1_05_03_V02Y_0,FALSE,FALSE,0,0,0,1,2017,8,17
1,1,Bhiwani,1_05_03_V02Y_0,FALSE,FALSE,0,0,0,1,2017,9,24
1,1,Bhiwani,1_05_03_V02Y_0,FALSE,FALSE,0,0,0,1,2017,10,35
1,1,Bhiwani,1_05_03_V02Y_0,FALSE,FALSE,0,0,0,1,2017,11,28
1,1,Bhiwani,1_05_03_V02Y_0,FALSE,FALSE,0,0,0,1,2017,12,37
1,1,Bhiwani,1_05_03_V02Y_0,FALSE,FALSE,0,0,0,1,2018,1,23
1,1,Bhiwani,1_05_03_V02Y_0,FALSE,FALSE,0,0,0,1,2018,2,26
1,1,Bhiwani,1_05_03_V02Y_0,FALSE,FALSE,0,0,0,1,2018,3,40
1,1,Bhiwani,1_05_06_V01Y_0,FALSE,FALSE,0,0,1,0,2017,3,18
1,1,Bhiwani,1_05_06_V01Y_0,FALSE,FALSE,0,0,1,0,2017,4,18
1,1,Bhiwani,1_05_06_V01Y_0,FALSE,FALSE,0,0,1,0,2017,5,11
1,1,Bhiwani,1_05_06_V01Y_0,FALSE,FALSE,0,0,1,0,2017,6,16
1,1,Bhiwani,1_05_06_V01Y_0,FALSE,FALSE,0,0,1,0,2017,7,12
1,1,Bhiwani,1_05_06_V01Y_0,FALSE,FALSE,0,0,1,0,2017,8,14
1,1,Bhiwani,1_05_06_V01Y_0,FALSE,FALSE,0,0,1,0,2017,9,24
1,1,Bhiwani,1_05_06_V01Y_0,FALSE,FALSE,0,0,1,0,2017,10,26
1,1,Bhiwani,1_05_06_V01Y_0,FALSE,FALSE,0,0,1,0,2017,11,17
1,1,Bhiwani,1_05_06_V01Y_0,FALSE,FALSE,0,0,1,0,2017,12,29
1,1,Bhiwani,1_05_06_V01Y_0,FALSE,FALSE,0,0,1,0,2018,1,20
1,1,Bhiwani,1_05_06_V01Y_0,FALSE,FALSE,0,0,1,0,2018,2,23
1,1,Bhiwani,1_05_06_V01Y_0,FALSE,FALSE,0,0,1,0,2018,3,32
1,1,Bhiwani,1_06_01_V01Y_1,FALSE,TRUE,1,0,0,0,2017,3,23
1,1,Bhiwani,1_06_01_V01Y_1,FALSE,TRUE,1,0,0,0,2017,4,44
1,1,Bhiwani,1_06_01_V01Y_1,FALSE,TRUE,1,0,0,0,2017,5,26
1,1,Bhiwani,1_06_01_V01Y_1,FALSE,TRUE,1,0,0,0,2017,6,32
1,1,Bhiwani,1_06_01_V01Y_1,FALSE,TRUE,1,0,0,0,2017,7,43
1,1,Bhiwani,1_06_01_V01Y_1,FALSE,TRUE,1,0,0,0,2017,8,24
1,1,Bhiwani,1_06_01_V01Y_1,FALSE,TRUE,1,0,0,0,2017,9,30
1,1,Bhiwani,1_06_01_V01Y_1,FALSE,TRUE,1,0,0,0,2017,10,34
1,1,Bhiwani,1_06_01_V01Y_1,FALSE,TRUE,1,0,0,0,2017,11,51
1,1,Bhiwani,1_06_01_V01Y_1,FALSE,TRUE,1,0,0,0,2017,12,56
1,1,Bhiwani,1_06_01_V01Y_1,FALSE,TRUE,1,0,0,0,2018,1,52
1,1,Bhiwani,1_06_01_V01Y_1,FALSE,TRUE,1,0,0,0,2018,2,46
1,1,Bhiwani,1_06_01_V01Y_1,FALSE,TRUE,1,0,0,0,2018,3,43
1,1,Bhiwani,1_06_02_V01Y_1,FALSE,TRUE,1,0,0,0,2017,3,16
1,1,Bhiwani,1_06_02_V01Y_1,FALSE,TRUE,1,0,0,0,2017,4,37
1,1,Bhiwani,1_06_02_V01Y_1,FALSE,TRUE,1,0,0,0,2017,5,45
1,1,Bhiwani,1_06_02_V01Y_1,FALSE,TRUE,1,0,0,0,2017,6,46
1,1,Bhiwani,1_06_02_V01Y_1,FALSE,TRUE,1,0,0,0,2017,7,33
1,1,Bhiwani,1_06_02_V01Y_1,FALSE,TRUE,1,0,0,0,2017,8,29
1,1,Bhiwani,1_06_02_V01Y_1,FALSE,TRUE,1,0,0,0,2017,9,45
1,1,Bhiwani,1_06_02_V01Y_1,FALSE,TRUE,1,0,0,0,2017,10,48
1,1,Bhiwani,1_06_02_V01Y_1,FALSE,TRUE,1,0,0,0,2017,11,43
1,1,Bhiwani,1_06_02_V01Y_1,FALSE,TRUE,1,0,0,0,2017,12,46
