id_phc,gossip,trusted,trustgossip,random,highslope,highflat,lowslope,lowflat,id_village_grp,district,created_year,created_month,shot_Penta1,shot_Penta2,shot_Penta3,shot_Measles1,nchildren,SMS33,SMS66
1_04,0,0,0,1,1,0,0,0,1_04_02_V03Y_0,Bhiwani,2017,3,0,0,0,1,1,0,1
1_04,0,0,0,1,1,0,0,0,1_04_02_V03Y_0,Bhiwani,2017,4,1,0,0,1,3,0,1
1_04,0,0,0,1,1,0,0,0,1_04_02_V03Y_0,Bhiwani,2017,5,1,2,1,0,4,0,1
1_04,0,0,0,1,1,0,0,0,1_04_02_V03Y_0,Bhiwani,2017,6,1,1,1,1,5,0,1
1_04,0,0,0,1,1,0,0,0,1_04_02_V03Y_0,Bhiwani,2017,7,1,0,1,1,3,0,1
1_04,0,0,0,1,1,0,0,0,1_04_02_V03Y_0,Bhiwani,2017,8,0,1,0,1,3,0,1
1_04,0,0,0,1,1,0,0,0,1_04_02_V03Y_0,Bhiwani,2017,9,0,0,2,1,3,0,1
1_04,0,0,0,1,1,0,0,0,1_04_02_V03Y_0,Bhiwani,2017,10,2,0,0,0,4,0,1
1_04,0,0,0,1,1,0,0,0,1_04_02_V03Y_0,Bhiwani,2017,11,1,2,0,1,5,0,1
1_04,0,0,0,1,1,0,0,0,1_04_02_V03Y_0,Bhiwani,2017,12,0,1,2,0,3,0,1
1_04,0,0,0,1,1,0,0,0,1_04_02_V03Y_0,Bhiwani,2018,1,0,0,0,1,1,0,1
1_04,0,0,0,1,1,0,0,0,1_04_02_V03Y_0,Bhiwani,2018,2,0,0,1,0,1,0,1
1_04,0,0,0,1,1,0,0,0,1_04_02_V03Y_0,Bhiwani,2018,3,0,0,0,0,3,0,1
1_04,1,0,0,0,1,0,0,0,1_04_03_V01Y_0,Bhiwani,2017,3,9,5,3,2,22,0,0
1_04,1,0,0,0,1,0,0,0,1_04_03_V01Y_0,Bhiwani,2017,4,6,7,1,0,16,0,0
1_04,1,0,0,0,1,0,0,0,1_04_03_V01Y_0,Bhiwani,2017,5,8,7,4,1,17,0,0
1_04,1,0,0,0,1,0,0,0,1_04_03_V01Y_0,Bhiwani,2017,6,7,4,4,2,16,0,0
1_04,1,0,0,0,1,0,0,0,1_04_03_V01Y_0,Bhiwani,2017,7,6,2,3,3,16,0,0
1_04,1,0,0,0,1,0,0,0,1_04_03_V01Y_0,Bhiwani,2017,8,5,3,0,2,15,0,0
1_04,1,0,0,0,1,0,0,0,1_04_03_V01Y_0,Bhiwani,2017,9,10,2,0,0,14,0,0
1_04,1,0,0,0,1,0,0,0,1_04_03_V01Y_0,Bhiwani,2017,10,6,4,2,8,17,0,0
1_04,1,0,0,0,1,0,0,0,1_04_03_V01Y_0,Bhiwani,2017,11,5,5,2,0,12,0,0
1_04,1,0,0,0,1,0,0,0,1_04_03_V01Y_0,Bhiwani,2017,12,3,5,4,6,21,0,0
1_04,1,0,0,0,1,0,0,0,1_04_03_V01Y_0,Bhiwani,2018,1,4,3,4,2,14,0,0
1_04,1,0,0,0,1,0,0,0,1_04_03_V01Y_0,Bhiwani,2018,2,6,3,2,6,23,0,0
1_04,1,0,0,0,1,0,0,0,1_04_03_V01Y_0,Bhiwani,2018,3,2,2,4,1,10,0,0
